pic_name,mean,粉尘能量,粉尘对比度,粉尘熵值,idm,Auto_correlation,std,,mean_s,asm_s,con_s,eng_s,idm_s,Auto_correlation_s,std_s,,mix_d,mix_s,mean_s,烟雾能量,烟雾对比度,烟雾熵值,idm_s,Auto_correlation_s,std_s,,粉尘Tglcm,烟雾Tglcm
1,0.055438519,0.526648924,0.027648926,0.823607511,0.985565186,203.1365967,41.17462763,,0.051091194,0.225925907,0.107299805,1.898929708,0.956329346,173.7603149,25.83363306,,57.34478454,274.6001847,0.046588659,0.203437969,0.884216309,2.447020318,0.91146629,161.53125,26.05408236,,23.38250827,70.23229726
2,0.054397821,0.354943164,0.074951172,1.309899761,0.972625732,195.7215576,33.44141734,,0.05003643,0.729147889,0.02722168,0.585427905,0.979614258,165.4655762,44.32975204,,170.4468316,12.84968135,0.020048857,0.110483676,0.493103027,2.840120644,0.861859114,30.70288086,5.616310449,,35.47253525,109.642742
3,0.048519611,0.284398384,0.098022461,1.622065605,0.962097168,156.3334961,26.62915784,,0.056160212,0.44619631,0.050842285,1.141346694,0.974029541,209.1519775,39.62048379,,231.789183,120.3573235,0.020530224,0.113932557,0.463500977,2.81233688,0.873399111,31.90997314,5.964116074,,44.2524964,106.467918
4,0.053822041,0.53272932,0.053649902,1.045823351,0.974975586,191.5701904,40.78741641,,0.052918673,0.348176725,0.062988281,1.518179278,0.967657471,186.0814819,32.90265647,,104.9593054,179.9885365,0.044103861,0.076581948,0.662658691,3.224637215,0.86767023,134.4975586,13.70300046,,24.53687469,153.3288497
5,0.036743879,0.267125651,0.050842285,1.592565949,0.976409912,89.97937012,19.52361416,,0.051253557,0.248603091,0.091247559,1.789413234,0.957175221,174.6188965,26.784333,,183.3863149,245.3285729,0.038994312,0.07031469,1.727233887,3.660112273,0.807614721,121.0030518,14.20508801,,45.90681879,177.7906919
6,0.051038504,0.218960837,0.080505371,1.78327475,0.96496582,172.9453125,24.82073162,,0.053170443,0.312921368,0.046630859,1.351542383,0.971984863,187.1574707,30.30806625,,236.9367624,150.4929609,0.037374973,0.088078648,0.785827637,3.322934513,0.85746703,102.8511963,13.89383488,,55.39169507,138.0078435
7,0.047935963,0.163080581,0.08984375,2.090968446,0.959503174,154.1068115,19.58767164,,0.053489447,0.391390339,0.046142578,1.186722902,0.97052002,189.2249756,34.59260159,,282.6325366,125.6758344,0.040995359,0.087421291,1.629577637,3.51472445,0.809122447,130.9165039,16.65292225,,72.67265919,148.2580096
8,0.029884815,0.321671851,0.085144043,1.546082674,0.969592285,59.934021,17.4890909,,0.053762436,0.26333461,0.093383789,1.650036394,0.961002125,192.0692749,29.14193384,,207.5851253,232.0539675,0.038885832,0.131070614,0.56652832,2.954491958,0.861109772,111.5767212,17.9500437,,39.66943566,96.73249516
9,0.051086664,0.275560282,0.059509277,1.587829788,0.970306396,173.116272,28.05896172,,0.047763586,0.474839523,0.079833984,1.092874489,0.962982178,150.9492798,33.44327607,,190.7362279,141.637481,0.036846876,0.119909756,0.594848633,2.965529026,0.854657547,104.5712891,16.63879471,,44.82394181,104.1721815
10,0.052079678,0.464202866,0.076599121,0.970768594,0.973937988,179.4216919,36.43230574,,0.057794094,0.801815674,0.019836426,0.398457571,0.98236084,220.6021118,53.68882919,,127.2556939,20.49938447,0.043297768,0.099861607,1.223815918,3.350940826,0.829709653,137.3591919,17.23444063,,27.16213978,129.1314481
